ID,Firstname,Lastname,Email,Courses
0,Anne,Kip,ngran@outlook.cz,PDBe;ISS
1,Pole,Rodin,ZMR0.com,IFJe;ASIe
2,Amy,Code,aa.com,IFJe;GJAe
3,John,Obb,saa.com,GJAe;ASIe;LISe
4,Ansrda,Kip,zhao@outlook.cz,PDBe;VYPa;IFJe
5,Podee,Rodin,ZMR0326.com,PDBe;VYPa;ASIe
6,Amry,Code,nbasdab.com,IFJe
7,Jonahs,Obb,saa.cz,IFJe;GJAe
8,Andrew,Kip,zharan@outlook.cz,VYPa;ASIe;GJAe
9,Poderu,Rodin,ZMR06.com,ISS;IFJe;BEEe
10,Amliy,Code,aaaasasfc.com,ISS;ASIe
11,Joe,Ovvi,saaasdad.cz,ASIe;BEEe;ISS;IFJe
12,Pob,Rod,ZMR6.com,OONe;IFJe;ISS
